address,location/lat,location/lng,name,numberOfGuests,pricing/nights,pricing/rate/amount,pricing/rate/amountFormatted,pricing/rateType,pricing/totalPrice/accommodation,pricing/totalPrice/amount,pricing/totalPrice/amountFormatted,pricing/totalPrice/cleaningFee,pricing/totalPrice/currency,pricing/totalPrice/guestFee,primaryHost/badges/0,primaryHost/badges/1,roomType,stars,stand address,praia,price per guest,price per night,norm price per guest,reviews numerical,score
"Boa Viagem, Pernambuco, Brazil",-8.117,-34.9,Modern Apartment in Beach Class by Carpediem,4,3,272.33,R$817,nightly,717,817,R$817,100.0,BRL,,3964 Reviews,Identity verified,Entire rental unit,4.52,Boa Viagem,1,68.083,272.333,0.995,3964.0,398.353
"Boa Viagem, Pernambuco, Brazil",-8.09483,-34.88412,PREMIUM COM VARANDA VISTA PANORÂMICA DO MAR 24° ANDAR,4,3,492.0,R$492,nightly,1587,1476,"R$1,476",,BRL,,2690 Reviews,Identity verified,Entire rental unit,4.83,Boa Viagem,1,123.0,492.0,0.99,2690.0,271.043
"Boa Viagem, Pernambuco, Brazil",-8.09477,-34.88304,Apartamento com Duas camas de Casal e Vista do Mar,4,3,310.67,R$932,nightly,1002,932,R$932,,BRL,,2690 Reviews,Identity verified,Private room in rental unit,4.76,Boa Viagem,1,77.667,310.667,0.994,2690.0,271.024
"Recife, Pernambuco, Brazil",-8.09391,-34.88481,FLAT ALTO LUXO DECORADO BEIRA MAR ANDAR ALTO 1503,4,3,403.0,R$403,nightly,1209,1209,"R$1,209",,BRL,,2690 Reviews,Identity verified,Entire rental unit,4.7,Recife,0,100.75,403.0,0.992,2690.0,271.005
"Boa Viagem, Pernambuco, Brazil",-8.0948,-34.88206,FLAT CHARME ROMÂNTICO VARANDA BEIRA MAR 24° ANDAR,4,3,366.67,R$366.67,nightly,1209,1100,"R$1,100",,BRL,,2690 Reviews,Identity verified,Entire rental unit,4.66,Boa Viagem,1,91.667,366.667,0.993,2690.0,270.994
"Boa Viagem, Pernambuco, Brazil",-8.09611,-34.88309,Apartment facing the sea in Boa Viagem,2,3,233.0,R$699,nightly,628,699,R$699,102.0,BRL,,1372 Reviews,Identity verified,Entire condo,4.54,Boa Viagem,1,116.5,233.0,0.991,1372.0,139.157
"Recife, Pernambuco, Brazil",-8.08622,-34.88843,Luxurious 2 bedroom flat next to CASV and Riomar,6,3,303.33,R$910,nightly,819,910,R$910,132.0,BRL,,1372 Reviews,Identity verified,Entire rental unit,4.49,Recife,0,50.556,303.333,0.996,1372.0,139.145
"Boa Vista, Pernambuco, Brazil",-8.05976,-34.88062,Alegre espaçoso apto002 às margens do Capibaribe,4,3,110.33,R$331,nightly,240,331,R$331,50.0,BRL,41.0,966 Reviews,Identity verified,Entire rental unit,4.57,Boa Vista,0,27.583,110.333,0.998,966.0,98.57
"Boa Vista, Pernambuco, Brazil",-8.06009,-34.88202,Alegre e espaçoso apto007 às margens do Capibaribe,2,3,108.33,R$325,nightly,261,325,R$325,50.0,BRL,40.0,966 Reviews,Identity verified,Entire rental unit,4.26,Boa Vista,0,54.167,108.333,0.996,966.0,98.476
"Recife, Pernambuco, Brazil",-8.09193,-34.88687,Flat funcional e acolhedor!No Pina perto de tudo,5,3,99.0,R$297,nightly,240,297,R$297,20.0,BRL,37.0,927 Reviews,Identity verified,Entire loft,4.77,Recife,0,19.8,99.0,0.998,927.0,94.73
"Recife , Pernambuco, Brazil",-8.09019,-34.88722,Flat estiloso SUSTENTÁVEL no Pina,4,3,101.33,R$304,nightly,240,304,R$304,26.0,BRL,38.0,927 Reviews,Identity verified,Entire serviced apartment,4.7,Recife,0,25.333,101.333,0.998,927.0,94.709
"Boa Viagem, Pernambuco, Brazil",-8.1258,-34.90421,The boutique apartment,5,3,323.67,R$971,nightly,731,971,R$971,120.0,BRL,120.0,799 Reviews,Identity verified,Entire rental unit,4.93,Boa Viagem,1,64.733,323.667,0.995,799.0,81.976
"Boa Viagem, Pernambuco, Brazil",-8.12629,-34.89853,The boutique apartment 2 - Boa Viagem,4,3,335.0,R$335,nightly,761,1005,"R$1,005",120.0,BRL,124.0,799 Reviews,Identity verified,Entire rental unit,4.89,Boa Viagem,1,83.75,335.0,0.993,799.0,81.963
"recife, Pernambuco, Brazil",-8.087,-34.889,"Boa Viagem - Pina, Recife,  B. Class Excelsior",7,3,266.33,R$799,nightly,600,799,R$799,100.0,BRL,99.0,527 Reviews,Identity verified,Entire serviced apartment,4.82,Recife,0,38.048,266.333,0.997,527.0,54.744
"Recife, Pernambuco, Brazil",-8.11601,-34.8997,"Recife, Boa Viagem, Beach Class, Shopping e Praia",6,3,266.33,R$799,nightly,600,799,R$799,100.0,BRL,99.0,527 Reviews,Identity verified,Entire rental unit,4.75,Recife,0,44.389,266.333,0.996,527.0,54.723
"Recife, Pernambuco, Brazil",-8.11543,-34.89985,"Boa Viagem Recife, Beach Class BV Melhor Local",6,3,266.33,R$799,nightly,600,799,R$799,100.0,BRL,99.0,527 Reviews,Identity verified,Entire rental unit,4.73,Recife,0,44.389,266.333,0.996,527.0,54.717
"Boa Viagem, Pernambuco, Brazil",-8.11777,-34.89877,Recife- Boa Viagem Flat Hotel e Residence,3,3,266.33,R$799,nightly,600,799,R$799,100.0,BRL,99.0,527 Reviews,Identity verified,Entire serviced apartment,4.7,Boa Viagem,1,88.778,266.333,0.993,527.0,54.706
